Clicks,Impressions,CreationDate,EndDate,PeopleWhoMatch,AdSpend,AdSpendCurrency
1130,11736,08/18/15 08:22:08 AM PDT,08/21/15 08:22:00 AM PDT,Black Matters,141497,RUB
70,553,08/18/15 08:21:46 AM PDT,08/19/15 08:21:45 AM PDT,Black Matters,12104,RUB
21,199,08/18/15 08:21:25 AM PDT,08/19/15 08:21:24 AM PDT,Black Matters,8142,RUB
32,219,08/18/15 08:20:41 AM PDT,08/19/15 08:20:40 AM PDT,Black Matters,8143,RUB
251,2644,08/18/15 08:20:23 AM PDT,08/21/15 08:20:00 AM PDT,Black Matters,41394,RUB
99,447,08/21/15 08:05:07 AM PDT,08/22/15 08:05:07 AM PDT,Black Matters,100,RUB
47,322,08/21/15 07:46:04 AM PDT,08/22/15 08:00:00 AM PDT,Black Matters,100,RUB
408,3218,08/21/15 07:45:31 AM PDT,08/26/15 09:00:00 AM PDT,Black Matters,48315,RUB
230,1720,08/20/15 07:43:42 AM PDT,08/21/15 08:46:32 AM PDT,Black Matters,58477,RUB
0,0,08/20/15 07:42:57 AM PDT,08/21/15 10:20:07 AM PDT,Black Matters,,
309,2543,08/24/15 08:27:46 AM PDT,08/27/15 08:27:00 AM PDT,Black Matters,24639,RUB
47,323,08/24/15 08:27:21 AM PDT,08/25/15 08:27:21 AM PDT,Black Matters,7812,RUB
1310,12055,08/14/15 07:32:52 AM PDT,08/19/15 06:17:00 AM PDT,Being Patriotic,488623,RUB
217,1867,08/07/15 04:50:56 AM PDT,08/09/15 04:50:55 AM PDT,Being Patriotic,500,RUB
128,823,08/11/15 08:26:32 AM PDT,08/13/15 08:26:32 AM PDT,Being Patriotic,1565,RUB
90,534,08/12/15 07:23:56 AM PDT,08/14/15 07:23:56 AM PDT,Being Patriotic,18758,RUB
55,553,08/06/15 02:44:52 AM PDT,08/08/15 02:44:51 AM PDT,Being Patriotic,26936,RUB
154,1220,08/05/15 07:23:09 AM PDT,08/06/15 07:23:09 AM PDT,Being Patriotic,35964,RUB
959,7723,08/12/15 03:26:28 AM PDT,08/14/15 03:26:27 AM PDT,Being Patriotic,1000,RUB
370,2642,08/04/15 08:26:40 AM PDT,08/05/15 08:26:39 AM PDT,Being Patriotic,44369,RUB
129,645,08/06/15 12:32:44 AM PDT,08/08/15 12:32:44 AM PDT,Being Patriotic,20071,RUB
3,18,08/12/15 03:28:02 AM PDT,08/14/15 03:28:02 AM PDT,Being Patriotic,5251,RUB
0,3,08/05/15 07:10:37 AM PDT,08/06/15 07:23:28 AM PDT,Being Patriotic,273,RUB
87,728,08/06/15 07:43:19 AM PDT,08/07/15 07:43:18 AM PDT,LGBT United,17457,RUB
26,260,08/18/15 08:18:19 AM PDT,08/19/15 08:18:19 AM PDT,LGBT United,8888,RUB
82,967,08/12/15 07:32:53 AM PDT,08/14/15 07:32:52 AM PDT,LGBT United,30545,RUB
455,3542,08/11/15 08:31:51 AM PDT,08/12/15 08:31:50 AM PDT,LGBT United,79635,RUB
137,782,08/06/15 07:43:41 AM PDT,08/07/15 07:43:40 AM PDT,LGBT United,26154,RUB
7,31,08/04/15 06:19:12 AM PDT,08/06/15 06:19:12 AM PDT,LGBT United,2592,RUB
